Symbol,Name,Currency
002000.KS,Hankuk Glass Industries Inc.,KRW
002005.KS,Hankuk Glass Industries Inc. Preference Shares,KRW
002025.KS,Kolon Corp Preference Shares,KRW
002030.KS,Asia Holdings Co Ltd,KRW
002070.KS,Namyeung Vivien Corp,KRW
0021.HK,Great China Properties Holdings Ltd,HKD
0021.KL,GHL SYSTEMS BHD,MYR
002100.KS,Kyungnong Corp,KRW
002140.KS,Korea Industrial Co Ltd,KRW
002150.KS,Dohwa Engineering Co Ltd,KRW
002170.KS,Samyang Tongsang Co Ltd,KRW
0022.HK,Mexan Limited,HKD
0022.KL,PARLO BERHAD,MYR
002210.KS,Dongsung Pharmaceutical Co Ltd,KRW
002220.KS,"Hanil Iron & Steel Co., Ltd",KRW
002240.KS,Kiswire Co Ltd,KRW
002250.KS,Alvogen Korea Co Ltd,KRW
002270.KS,Lotte Food Co Ltd,KRW
0023.HK,Bank of East Asia Ltd,HKD
0023.KL,IFCA MSC BHD,MYR
002300.KS,Hankuk Paper Mfg Co Ltd,KRW
002310.KS,Asia Paper Manufacturing Co Ltd,KRW
002350.KS,Nexen Tire Corp,KRW
002360.KS,SH Energy & Chemical Co Ltd,KRW
0024.HK,Burwill Holdings Ltd,HKD
0024.KL,JAG BERHAD,MYR
002410.KS,Bumyang Construction Co Ltd,KRW
002420.KS,The Century Co Ltd,KRW
002460.KS,Hwasung Industrial Co Ltd,KRW
0025.HK,Chevalier International Holdings Limited,HKD
0025.KL,LNG RESOURCES BHD,MYR
002550.KS,N/A,N/A
0026.HK,China Motor Bus Company Ltd,HKD
0026.KL,NOVA MSC BHD,MYR
002600.KS,Choheung Corporation,KRW
002630.KS,Orient Bio Inc,KRW
002690.KS,Dong Il Steel Manufacturing Co Ltd,KRW
0027.HK,Galaxy Entertainment Group Limited,HKD
002700.KS,"Shinil Industrial Co., Ltd.",KRW
002710.KS,TCC Steel,KRW
002760.KS,Bolak Company Limited,KRW
002780.KS,Chinhung International Inc.,KRW
002785.KS,CHIN HUNG INT PREFERENCE S1,KRW
002787.KS,CHIN HUNG INT-2P PRF,KRW
002790.KS,Amorepacific Group,KRW
002795.KS,Amorepacific Group Preference Shares,KRW
0028.HK,Tian An China Investments Co Ltd,HKD
0028.KL,SCOPE INDUSTRIES BHD,MYR
002810.KS,Samyung Trading Co Ltd,KRW
002840.KS,Miwon Commercial Co Ltd,KRW
002880.KS,Dayou Automotive Seat Technology Co Ltd,KRW
0029.HK,Dynamic Holdings Limited,HKD
0029.KL,DIGISTAR CORPORATION BHD,MYR
0030.HK,Ban Loong Holdings Ltd,HKD
003000.KS,"Bukwang Pharmaceutical Co., Ltd.",KRW
003010.KS,Haein Corporation,KRW
003075.KS,Kolon Global Corp Preference Shares,KRW
003080.KS,"Sungbo Chemical Co., Ltd.",KRW
003090.KS,"Daewoong Co., Ltd.",KRW
0031.HK,China Aerospace International Holdings,HKD
003120.KS,"ILSUNG PHARMACEUTICAL CO.,LTD",KRW
003160.KS,DI Corp,KRW
0032.HK,Cross-Harbour Holdings Ltd,HKD
0032.KL,REDTONE INTERNATIONAL BHD,MYR
003200.KS,Ilshin Spinning Co.,KRW
003220.KS,Daewon Pharmaceutical Co Ltd,KRW
003240.KS,"Taekwang Industrial Co., Ltd.",KRW
003280.KS,Heung-A Shipping Co Ltd,KRW
0033.HK,Asia Investment Finance Group Ltd,HKD
003300.KS,Hanil Cement Co Ltd,KRW
003350.KS,Hankook Cosmetics Manufacturing Co Ltd,KRW
0034.HK,Kowloon Development Company Limited,HKD
0034.KL,MMAG HOLDINGS BERHAD,MYR
003410.KS,Ssangyong Cement Industry Co Ltd,KRW
003415.KS,Ssangyong Cement Industry Co Ltd Preference Shares,KRW
003450.KS,N/A,N/A
003460.KS,"Yuhwa Securities Co., Ltd.",KRW
003465.KS,"Yuhwa Securities Co., Ltd. Preference Shares",KRW
003470.KS,"Yuanta Securities Korea Co., Ltd",KRW
003475.KS,"Yuanta Securities Korea Co., Ltd Preference Shares",KRW
003480.KS,Hanjin Heavy Ind & Const Holdings Co Ltd,KRW
003490.KS,Korean Air Lines Co Ltd,KRW
0035.HK,Far East Consortium International Ltd.,HKD
0035.KL,OPCOM HOLDINGS BHD,MYR
003530.KS,Hanwha Securities Co Ltd,KRW
003535.KS,Hanwha Securities Co Ltd Preference Shares,KRW
003540.KS,"Daishin Securities Co., Ltd",KRW
003545.KS,DAISHIN SEC PREFERENCE S1,KRW
003547.KS,DAISHIN SEC-2P PRF,KRW
003550.KS,LG Corp,KRW
003555.KS,LG Corp Preference Shares,KRW
003560.KS,IHQ Inc,KRW
003570.KS,S&T Dynamics Co Ltd,KRW
003580.KS,Dong Won Corp,KRW
0036.HK,Far East Holdings International Limited,HKD
0036.KL,KEY ALLIANCE GROUP BERHAD,MYR
003610.KS,Pangrim Co Ltd,KRW
003620.KS,"Ssangyong Motor Co., Ltd.",KRW
003680.KS,Hansung Enterprise Co Ltd,KRW
0037.HK,Far East Hotels and Entertainment Ltd.,HKD
0037.KL,RGB INTERNATIONAL BHD,MYR
003720.KS,"Samyoung Chemical Co., Ltd.",KRW
003780.KS,Chin Yang Industry Co Ltd,KRW
0038.HK,FIRST TRACTOR/Shs H Vtg 1.00,HKD
0038.KL,PLASTRADE TECHNOLOGY BHD,MYR
003830.KS,"Daehan Synthetic Fiber Co., Ltd.",KRW
0039.HK,China Beidahuang Industry Group Hold Ltd,HKD
0039.KL,GFM SERVICES BERHAD,MYR
003920.KS,"Namyang Dairy Products Co., Ltd.",KRW
003940.KS,N/A,N/A
003945.KS,N/A,N/A
003960.KS,Sajodaerim Corp,KRW
0040.HK,Gold Peak Industries (Holdings) Limited,HKD
0040.KL,OPENSYS (M) BHD,MYR
004000.KS,Lotte Fine Chemical Co Ltd,KRW
004020.KS,Hyundai Steel Co,KRW
004080.KS,Shin Hung Co Ltd,KRW
004090.KS,Korea Petroleum Industries Co,KRW
0041.HK,Great Eagle Holdings Limited,HKD
0041.KL,PANPAGES BERHAD,MYR
004105.KS,"Taeyang Metal Industrial Co., Ltd. Preference Shares",KRW
004130.KS,Daeduck GDS Co Ltd,KRW
004135.KS,Daeduck GDS Co Ltd Preference Shares,KRW
004140.KS,Dongbang Transport & Logistics Co Ltd,KRW
004170.KS,Shinsegae Inc,KRW
0042.HK,NORAST ELEC/Shs H Vtg 1.00,HKD
004200.KS,Korea Development Corporation(KDC),KRW
004270.KS,Namsung Corp,KRW
0043.HK,C.P. POKPHAND CO. LTD,HKD
0043.KL,METRONIC GLOBAL BHD,MYR
004310.KS,Hyundai Pharmaceutical Co  Ltd,KRW
004360.KS,"Sebang Co., Ltd",KRW
004365.KS,"Sebang Co., Ltd Preference Shares",KRW
004370.KS,Nongshim Co Ltd,KRW
004380.KS,Samick THK Co Ltd,KRW
0044.HK,"Hong Kong Aircraft Engineering Co., Ltd.",HKD
004415.KS,Seoul Food Industrial Co Ltd Preference Shares,KRW
004450.KS,"Samhwa Crown & Closure Co., Ltd.",KRW
004490.KS,Sebang Global Battery Co Ltd,KRW
0045.HK,Hongkong and Shanghai Hotels Ltd,HKD
004540.KS,Kleannara Co Ltd,KRW
004545.KS,Kleannara Co Ltd Preference Shares,KRW
004560.KS,Hyundai BNG Steel Co Ltd,KRW
004565.KS,Hyundai BNG Steel Co Ltd Preference Shares,KRW
0046.HK,Computer and Technologies Holdings Ltd,HKD
004690.KS,"Samchully Co., Ltd.",KRW
0047.HK,Hop Hing Group Holdings Limited,HKD
0047.KL,PERISAI PETROLEUM TEKNOLOGI,MYR
004700.KS,"Chokwang Leather Co., Ltd",KRW
004740.KS,N/A,N/A
004770.KS,Sunny Electronics Co Ltd,KRW
0048.KL,ANCOM LOGISTICS BERHAD,MYR
004800.KS,Hyosung Corp,KRW
004830.KS,Duksung Co Ltd,KRW
004835.KS,Duksung Co Ltd Preference Shares,KRW
004840.KS,DRB Holding Co Ltd,KRW
004870.KS,Tway Holdings Inc,KRW
004890.KS,Dongil Industries Co Ltd,KRW
0049.KL,OCEANCASH PACIFIC BHD,MYR
004910.KS,"Chokwang Paint Co., Ltd.",KRW
004920.KS,CItech Co Ltd,KRW
004960.KS,"Hanshin Construction Co., Ltd.",KRW
004970.KS,Silla Co Ltd,KRW
004980.KS,Sungshin Cement Co Ltd,KRW
004985.KS,SUNGSHIN CEMENT PREFERENCE S1,KRW
004989.KS,SUNGSHIN CEMENT PREFERENCE S3,KRW
004990.KS,LOTTE Corporation,KRW
0050.HK,Hong Kong Ferry Holdings Co Ltd,HKD
0050.KL,SYSTECH BHD,MYR
005010.KS,"Husteel Co., Ltd.",KRW
005030.KS,"Pusan Cast Iron Co., Ltd.",KRW
0051.HK,Harbour Centre Development Limited,HKD
0051.KL,CUSCAPI BHD,MYR
005110.KS,Hanchang Corporation,KRW
005180.KS,Binggrae Co Ltd,KRW
005190.KS,"Dongsung Chemical Co., Ltd.",KRW
0052.HK,Fairwood Holdings Limited,HKD
005250.KS,Green Cross Holdings,KRW
005255.KS,N/A,N/A
005257.KS,Green Cross Holdings Preference Shares,KRW
0053.HK,Guoco Group Ltd,HKD
0053.KL,OSK VENTURES INTERNATIONAL BHD,MYR
005305.KS,Lotte Chilsung Beverage Co Ltd Preference Shares,KRW
005320.KS,Kukdong Corp,KRW
005380.KS,Hyundai Motor Co,KRW
005385.KS,HYUNDAI MTR PREFERENCE S1,KRW
005389.KS,HYUNDAI MTR PREFERENCE S3,KRW
005390.KS,"Shinsung Tongsang Co., Ltd",KRW
0054.HK,Hopewell Holdings Limited,HKD
0054.KL,KARYON INDUSTRIES BHD,MYR
005430.KS,Korea Airport Service Co Ltd,KRW
005450.KS,Shinhan Engineering & Construction CoLtd,KRW
005490.KS,POSCO,KRW
0055.HK,Neway Group Holdings Ltd,HKD
0055.KL,SERSOL BERHAD,MYR
005500.KS,"Samjin Pharmaceutical Co., Ltd.",KRW
0056.HK,Allied Properties (H.K.) Limited,HKD
0056.KL,GRAND-FLO BERHAD,MYR
005610.KS,SPC Samlip Co Ltd,KRW
005620.KS,N/A,N/A
005680.KS,Samyoung Electronics Co Ltd,KRW
0057.HK,Chen Hsong Holdings Limited,HKD
005720.KS,Nexen Corporation,KRW
005725.KS,Nexen Corporation Preference Shares,KRW
005740.KS,CrownHaitai Holdings Co Ltd,KRW
005745.KS,CrownHaitai Holdings Co Ltd Preference Shares,KRW
005750.KS,Daelim B&Co Co Ltd,KRW
0058.HK,Sunway International Holdings Limited,HKD
0058.KL,JCBNEXT BERHAD,MYR
005800.KS,ShinYoung Wacoal Inc.,KRW
005810.KS,Poongsan Holdings Corporation,KRW
005820.KS,Wonlim Corp,KRW
005830.KS,DB Insurance Co Ltd,KRW
005850.KS,SL Corp,KRW
005880.KS,Korea Line Corp,KRW
0059.HK,Skyfame Realty (Holdings) Limited,HKD
0059.KL,M-MODE BHD,MYR
005930.KS,Samsung Electronics Co Ltd,KRW
005935.KS,Samsung Electronics Co Ltd Preference Shares,KRW
005940.KS,NH Investment & Securities Co Ltd,KRW
005945.KS,NH Investment & Securities Co Ltd Preference Shares,KRW
005950.KS,"Isu Chemical Co., Ltd.",KRW
005965.KS,Dongbu Corp Preference Shares,KRW
0060.HK,Hong Kong Food Investment Holdings Ltd,HKD
0060.KL,SKH CONSORTIUM BERHAD,MYR
006040.KS,"Dongwon Industries Co., Ltd",KRW
006060.KS,HWASEUNG Industries Co Ltd,KRW
006090.KS,Oyang Corp,KRW
0061.HK,Green Leader Holdings Group Ltd,HKD
006110.KS,"Sam-A Aluminum Co., Ltd.",KRW
006120.KS,SK Discovery Co Ltd,KRW
006125.KS,SK Discovery Co Ltd Preference Shares,KRW
0062.HK,Transport International Holdings Ltd.,HKD
006200.KS,KEC Holdings Co Ltd,KRW
006260.KS,LS Corp.,KRW
006280.KS,Green Cross Corp,KRW
0063.HK,China Graphene Group Ltd,HKD
006345.KS,"Daewon Cable Co., Ltd. Preference Shares",KRW
006360.KS,GS Engineering & Construction Corp,KRW
006370.KS,Daegu Department Store Co Ltd,KRW
006380.KS,Capro Corp.,KRW
006390.KS,"Hyundai Cement Co., Ltd",KRW
0064.HK,Get Nice Holdings Limited,HKD
0064.KL,EFFICIENT E-SOLUTIONS BHD,MYR
