Symbol,Name,Currency
0823EA.KL,CIMB China 50,MYR
0824EA.KL,MyETF MSCI Malaysia Islamic Dividend,MYR
0825.HK,New World Department Store China Limited,HKD
0825EA.KL,MyETF MSCI SEA Islamic Dividend,MYR
0826.HK,Tiangong International Company Limited,HKD
082640.KS,Tong Yang Life Insurance Co Ltd,KRW
0826EA.KL,MyETF Thmsn Rtrs AP exJpn Islmc Agrbsnss,MYR
0827.HK,Ko Yo Chemical Group Ltd,HKD
082740.KS,HSD Engine Co Ltd,KRW
0828.HK,Dynasty Fine Wine Group Limited,HKD
0829.HK,Shenguan Holdings (Group) Ltd,HKD
0830.HK,Far East Global Group Limited,HKD
0831.HK,Convenience Retail Asia Limited,HKD
0833.HK,Alltronics Holdings Limited,HKD
083370.KS,Dongbuka No.12 Ship Investment Co.,KRW
083380.KS,Dongbuka No13 Ship Investment Co,KRW
083390.KS,N/A,N/A
0834.HK,China Kangda Food Company Limited,HKD
083420.KS,Green Chemical Co Ltd,KRW
0835.HK,Asia Coal Limited,HKD
083570.KS,N/A,N/A
083580.KS,N/A,N/A
083590.KS,N/A,N/A
0836.HK,China Resources Power Holdings Co. Ltd.,HKD
083600.KS,N/A,N/A
083610.KS,N/A,N/A
083620.KS,N/A,N/A
0837.HK,Carpenter Tan Holdings Ltd,HKD
0838.HK,EVA Precision Industrial Holdings Ltd,HKD
0839.HK,China Education Group Holdings Ltd,HKD
0840.HK,Xinjiang Tianye Water Saving Irrigation,HKD
0841.HK,Asia Cassava Resources Holdings Limited,HKD
0842.HK,Leoch International Technology Ltd,HKD
0844.HK,Greatime International Holdings Ltd,HKD
0845.HK,Glorious Property Holdings Ltd,HKD
0846.HK,Mingfa Group (International) Co Ltd,HKD
084680.KS,E-World Co Ltd,KRW
084690.KS,Daesang Hldg Co Ltd,KRW
0848.HK,Maoye International Holdings Limited,HKD
084870.KS,TBH Global Co Ltd,KRW
0850.HK,Tou Rong Chang Fu Group Ltd,HKD
0851.HK,Sheng Yuan Holdings Ltd,HKD
0852.HK,Strong Petrochemical Holdings Ltd,HKD
0853.HK,MicroPort Scientific Corporation,HKD
085310.KS,NK Co Ltd,KRW
0854.HK,Willas-Array Electronics (Holdings) Ltd,HKD
0855.HK,China Water Affairs Group Ltd,HKD
0856.HK,VSTECS Holdings Ltd,HKD
085620.KS,Mirae Asset Life Insurance Co Ltd,KRW
0857.HK,PETRO/Shs H Vtg 1.00,HKD
0858.HK,Extrawell Pharmaceutical Holdings Ltd.,HKD
0859.HK,Zhongchang International Holdings Grp Ld,HKD
0860.HK,We Solutions Ltd,HKD
0861.HK,Digital China Holdings Ltd,HKD
0862.HK,Vision Values Holdings Limited,HKD
086280.KS,Hyundai Glovis Co Ltd,KRW
0863.HK,Branding China Group Ltd,HKD
0864.HK,Wing Lee Property Investments Ltd,HKD
0867.HK,China Medical System Holdings,HKD
086790.KS,Hana Financial Group Inc,KRW
0868.HK,Xinyi Glass Holdings Ltd.,HKD
0869.HK,Playmates Toys Limited,HKD
0872.HK,TUS International Ltd,HKD
0873.HK,China Taifeng Beddings Holdings Ltd,HKD
0874.HK,BAIYUNSHAN PH/Shs H Vtg 1.00,HKD
0875.HK,China Finance Investment Holdings Ltd,HKD
0876.HK,Kaisa Health Group Holdings Ltd,HKD
0877.HK,O-Net Technologies (Group) Ltd,HKD
0878.HK,Soundwill Holdings Limited,HKD
0880.HK,SJM Holdings Limited,HKD
0882.HK,Tianjin Development Holdings Limited,HKD
0883.HK,CNOOC Ltd,HKD
088350.KS,Hanwha Life Insurance Co Ltd,KRW
0884.HK,CIFI Holdings (Group) Co Ltd,HKD
0887.HK,Emperor Watch & Jewellery Limited,HKD
088790.KS,Jindo Co Ltd,KRW
0888.HK,Bison Finance Group Ltd,HKD
0889.HK,Datronix Holdings Limited,HKD
088980.KS,Macquarie Korea Infrastructure Fund,KRW
0891.HK,Trinity Limited,HKD
0893.HK,China Vanadium Titan Mgntte Mng Co Ltd,HKD
0894.HK,Man Yue Technology Holdings Ltd,HKD
089470.KS,HDC Hyundai Engineering Plastics Co Ltd,KRW
0895.HK,DONGJIANG ENVIR/Shs H Vtg 0.10,HKD
089590.KS,JejuAir Co Ltd,KRW
0896.HK,Hanison Construction Holdings Ltd.,HKD
0897.HK,Wai Yuen Tong Medicine Holdings Limited,HKD
0898.HK,Multifield International Holdings Ltd,HKD
0899.HK,Asia Resources Holdings Ltd,HKD
08IA.F,N/A,N/A
08S.F,Bank Sinarmas Tbk PT,EUR
08T.F,Tourmaline Oil Corp,EUR
0900.HK,AEON Credit Service (Asia) Company Ltd.,HKD
090080.KS,"Pyung Hwa Industrial Co., Ltd.",KRW
0902.HK,HUANENG INTL/Shs H Vtg 1.00,HKD
0903.HK,TPV Technology Ltd,HKD
090350.KS,Noroo Paint & Coatings Co Ltd,KRW
090355.KS,Noroo Paint & Coatings Co Ltd Preference Shares,KRW
0904.HK,China Green (Holdings) Ltd,HKD
090430.KS,Amorepacific Corp,KRW
090435.KS,Amorepacific Corp Preference Shares,KRW
0905.HK,Global Mastermind Capital Ltd,HKD
0906.HK,CPMC Holdings Limited,HKD
0907.HK,Elegance Optical International Hldgs Ltd,HKD
0908.HK,Zhuhai Holdings Investment Group Ltd,HKD
0909.HK,Zhongda International Holdings Limited,HKD
090970.KS,N/A,N/A
090990.KS,N/A,N/A
0910.HK,China Sandi Holdings Ltd,HKD
091090.KS,Sewon Cellontech Co  Ltd,KRW
0911.HK,Qianhai Health Holdings Ltd,HKD
0912.HK,Suga International Holdings Ltd,HKD
0913.HK,Unity Investments Holdings Limited,HKD
0914.HK,ANHUI CONCH CEM/Shs H Vtg 1.00,HKD
0915.HK,Daohe Global Group Ltd,HKD
0916.HK,China Longyuan Power Group Corp Ltd,HKD
0917.HK,N/A,N/A
0918.HK,State Energy Group Intrntnl Aset Hld Ltd,HKD
0919.HK,Modern Beauty Salon Holdings Limited,HKD
0921.HK,HISENSE KELON/Shs H Vtg 1.00,HKD
0922.HK,Anxian Yuan China Holdings Ltd,HKD
092200.KS,Dae-Il Corporation,KRW
092230.KS,KPX Holdings Co Ltd,KRW
0923.HK,Integrated Waste Solutions Gp Hldngs Ltd,HKD
0925.HK,Beijing Properties (Holdings) Ltd,HKD
0926.HK,Besunyen Holdings Co Ltd,HKD
092630.KS,N/A,N/A
0927.HK,Fujikon Industrial Holdings Ltd.,HKD
0929.HK,IPE Group Limited,HKD
0930.HK,N/A,N/A
093050.KS,LF Corp,KRW
0931.HK,China LNG Group Ltd,HKD
093230.KS,E Investment&Development Co Ltd,KRW
093240.KS,Hyungji Elite Inc,KRW
0933.HK,Brightoil Petroleum Holdings Limited,HKD
093370.KS,Foosung Co Ltd,KRW
0934.HK,Sinopec Kantons Holdings Limited,HKD
0936.HK,Eagle Legend Asia Ltd,HKD
0938.HK,Man Sang International Limited,HKD
0939.HK,CSTR BK/Shs H Vtg 1.00,HKD
0940.HK,China Animal Healthcare Ltd.,HKD
0941.HK,China Mobile Ltd.,HKD
094280.KS,Hyosung ITX Co Ltd,KRW
0943.HK,eFORCE Holdings Ltd,HKD
0947.HK,"MOBI Development Co., Ltd.",HKD
0948.HK,Z-Obee Holdings Ltd,HKD
0951.HK,Chaowei Power Holdings Limited,HKD
0952.HK,China Tonghai International Financil Ltd,HKD
0953.HK,Shaw Brothers Holdings Ltd,HKD
0954.HK,Changmao Biochemical Engineering Co Ltd,HKD
095570.KS,AJ Networks Co Ltd,KRW
0956.HK,China Suntien Green Energy Corp,HKD
095720.KS,"Woongjin Thinkbig Co., Ltd.",KRW
0958.HK,Huaneng Renewables Corp Ltd,HKD
0959.HK,Amax International Holdings Ltd,HKD
096.F,HubSpot Inc,EUR
0960.HK,Longfor Group Holdings Ltd,HKD
0963.HK,N/A,N/A
0966.HK,China Taiping Insurance Hldgs Co Ltd,HKD
0967.HK,Sound Global Ltd,HKD
096760.KS,JW Holdings Corp,KRW
096770.KS,SK Innovation Co Ltd,KRW
096775.KS,SK Innovation Co Ltd Preference Shares,KRW
0969.HK,Hua Lien International (Holding) Co. Ltd,HKD
0970.HK,Sparkle Roll Group Ltd.,HKD
097230.KS,Hanjin Heavy Industries & Construction,KRW
0973.HK,L'Occitane International S.A.,HKD
0975.HK,Mongolian Mining Corporation,HKD
0978.HK,China Merchants Land Ltd,HKD
0979.HK,Green Energy Group Limited,HKD
097950.KS,CJ Cheiljedang Corp,KRW
097955.KS,CJ Cheiljedang Corp Preference Shares,KRW
098.F,N/A,N/A
0980.HK,Lianhua Supermarket Co Ltd,HKD
0981.HK,Semiconductor Manufacturing Int'l,HKD
0982.HK,HJ Capital International Holdings Co Ltd,HKD
0983.HK,SOCAM Development Ltd,HKD
0984.HK,"AEON Stores (Hong Kong) Co., Limited",HKD
0986.HK,China Environmental Energy Investmnt Ltd,HKD
0987.HK,China Renewable Energy Investment Ltd,HKD
0988.HK,Silk Road Logistics Holdings Ltd,HKD
0989.HK,Ground International Development Ltd,HKD
0990.HK,Theme International Holdings Limited,HKD
0991.HK,DATANG PWR GENE/Shs H Vtg 1.00,HKD
0992.HK,Lenovo Group Limited,HKD
0993.HK,Huarong International Fnncl Hldngs Ltd,HKD
0995.HK,ANHUI EXPWY/Shs H Vtg 1.00,HKD
0996.HK,Carnival Group International Holdngs Ltd,HKD
0997.HK,Chinlink International Holdings Ltd,HKD
0998.HK,CITIC BK/Shs H Vtg 1.00,HKD
0999.HK,I.T. Ltd,HKD
09B.F,Lastminute.com NV,EUR
09N.F,Prairie Provident Resources Inc,EUR
0A3.F,Acceleron Pharma Inc,EUR
0ACS.F,Asia Cassava Resources Holdings Limited,EUR
0AI.F,Awilco Drilling PLC,EUR
0AK.F,Aramark,EUR
0AL.F,Agile Therapeutics Inc,EUR
0AMN.F,N/A,N/A
0APM,N/A,N/A
0APM.L,N/A,N/A
0AW.F,Air Water Inc,EUR
0AX.F,N/A,N/A
0AY.F,Stars Group Inc,EUR
0B7.F,Bossard Holding AG,EUR
0B9.F,N/A,N/A
0BD.F,Bridgepoint Education Inc,EUR
0BL.F,Blue River Resources Ltd,EUR
0BN.F,Habit Restaurants Inc,EUR
0BR.F,China New Borun Corp,EUR
0BX.F,Bright Smart Securities & Commodities Gr,EUR
0C2.F,Chubu Electric Power Co Inc,EUR
0C5.F,exactEarth Ltd,EUR
0C8.F,Catalent Inc,EUR
0C9A.F,Cheetah Mobile Inc (ADR),EUR
0CB.F,N/A,N/A
0CDA.F,China Distance Education Hldgs Ltd (ADR),EUR
0CE.F,N/A,N/A
0CG.F,Chegg Inc,EUR
0CI.F,China Cinda Asset Management Co Ltd,EUR
0CK.F,CIG Pannonia Eletbiztosito Nyrt,EUR
0CL.F,Cloetta AB,EUR
0CMB.F,Compania Minera Autlan SAB de CV,EUR
0CP1.F,Charoen Pokphand Indonesia Tbk PT,EUR
0CS.F,Come Sure Group (Holdings) Ltd,EUR
0CSD.L,N/A,N/A
0CT.F,Card Factory PLC,EUR
0CU.F,China Metal Resources Utilization Ltd,EUR
0CYA.F,Changyou.Com Ltd (ADR),EUR
0CZ.F,China Zhongwang Holdings Ltd,EUR
0D53,N/A,N/A
0D53.L,N/A,N/A
0DA.F,Dorian LPG Ltd,EUR
0DFF,N/A,N/A
0DGD,N/A,N/A
0DH.F,Darma Henwa Tbk PT,EUR
0DHR,N/A,N/A
0DI.F,LCI Industries,EUR
0DJ.F,N/A,N/A
0DJI,N/A,N/A
0DJI.L,N/A,N/A
0DJV,N/A,N/A
0DJV.L,N/A,N/A
0DLI,N/A,N/A
0DM3,N/A,N/A
0DM6,N/A,N/A
0DM6.L,N/A,N/A
0DME,N/A,N/A
0DME.L,N/A,N/A
0DMQ,N/A,N/A
0DMQ.L,N/A,N/A
0DNS,N/A,N/A
0DO4,SG EUROZ.DIV.FIGES TR EUR,N/A
0DPS.F,DEXUS Property Group,EUR
0DQK,N/A,N/A
0DQK.L,N/A,N/A
0DQT,N/A,N/A
0DRM,N/A,N/A
0DT1,N/A,N/A
0DTK,N/A,N/A
0DUK,N/A,N/A
0DUK.L,N/A,N/A
0DVM,N/A,N/A
0DW.F,Datawind Inc,EUR
0DXJ,N/A,N/A
0DXU,N/A,N/A
0DYQ,N/A,N/A
0DYQ.L,N/A,N/A
0DZ4,N/A,N/A
0DZJ,N/A,N/A
0DZJ.L,N/A,N/A
0E02.F,N/A,N/A
0E1Y,N/A,N/A
0E3.F,N/A,N/A
0E3C,N/A,N/A
0E3C.L,N/A,N/A
0E3Q,N/A,N/A
0E40.L,N/A,N/A
0E41.F,EnLink Midstream LLC,EUR
0E4Q,N/A,N/A
0E4Q.L,N/A,N/A
0E5.F,Photon Control Inc,EUR
0E6.F,Scandium International Mining Corp,EUR
0E63.L,N/A,N/A
0E64.L,N/A,N/A
0E7S,N/A,N/A
0E7S.L,N/A,N/A
0E7Z,N/A,N/A
0E8.F,Advanced Proteome Therapeutics Corp.,EUR
0E8M,N/A,N/A
0E8U,N/A,N/A
0E9S,N/A,N/A
0E9S.L,N/A,N/A
0EA2,N/A,N/A
0EA2.L,N/A,N/A
0EDZ,N/A,N/A
0EDZ.L,N/A,N/A
0EEI,N/A,N/A
0EEI.L,N/A,N/A
0EEV,N/A,N/A
0EEV.L,N/A,N/A
0EEZ.L,N/A,N/A
0EFO,N/A,N/A
0EGH,N/A,N/A
0EGH.L,N/A,N/A
0EHB,N/A,N/A
0EHB.L,N/A,N/A
0EHF,N/A,N/A
0EHF.L,N/A,N/A
0EIT,N/A,N/A
0EJ.F,EnBio Holdings Inc,EUR
0EJB,N/A,N/A
0EJQ,N/A,N/A
0EKA.L,N/A,N/A
0EKE,N/A,N/A
0EKE.L,N/A,N/A
0EKI,N/A,N/A
0ELP,N/A,N/A
0EMK,N/A,N/A
0EMK.L,N/A,N/A
0EO8.L,N/A,N/A
0EOF,N/A,N/A
0EOF.L,N/A,N/A
0EPM.L,N/A,N/A
0ERM,N/A,N/A
0ESX,N/A,N/A
0ESX.L,N/A,N/A
0ET.F,Esperion Therapeutics Inc,EUR
0ET5,N/A,N/A
0EVB,N/A,N/A
0EVS,N/A,N/A
0EW1,STX.GL. IN.SU. 50 PR EO,N/A
0EWD,STX JP 50 NR EUR,N/A
0EWR,STX AU 50 PR USD,N/A
0EX6.L,N/A,N/A
0EYB,N/A,N/A
0EYB.L,N/A,N/A
0F07,N/A,N/A
0F0J,N/A,N/A
0F1U,N/A,N/A
0F2Q,N/A,N/A
0F2Q.L,N/A,N/A
0F3G,N/A,N/A
0F3T.L,N/A,N/A
0F4O,N/A,N/A
0F5V,N/A,N/A
0F6L,N/A,N/A
0F7F,N/A,N/A
0F7F.L,N/A,N/A
0F8T,N/A,N/A
0F8T.L,N/A,N/A
0F8V,N/A,N/A
0F8V.L,N/A,N/A
0FBM,N/A,N/A
0FC6,N/A,N/A
0FEW,N/A,N/A
0FIW,N/A,N/A
0FIW.L,N/A,N/A
0FJJ,N/A,N/A
0FJJ.L,N/A,N/A
0FM1,N/A,N/A
0FM1.L,N/A,N/A
0FM2,N/A,N/A
0FM2.L,N/A,N/A
0FNI,N/A,N/A
0FNI.L,N/A,N/A
0FNU,N/A,N/A
0FOS,N/A,N/A
0FOS.L,N/A,N/A
0FP4,N/A,N/A
0FP9,N/A,N/A
0FP9.L,N/A,N/A
0FPJ,N/A,N/A
0FQN.L,N/A,N/A
0FQS,N/A,N/A
0FR0,N/A,N/A
0FR0.L,N/A,N/A
0FRE,N/A,N/A
0FRE.L,N/A,N/A
0FRI,N/A,N/A
0FRW.L,N/A,N/A
0FS8,N/A,N/A
0FS8.L,N/A,N/A
0FSN,N/A,N/A
0FSN.L,N/A,N/A
0FSO,N/A,N/A
0FSO.L,N/A,N/A
0FT3,N/A,N/A
0FTH,N/A,N/A
0FTQ,N/A,N/A
0FV0,N/A,N/A
0FWN,N/A,N/A
0FYM,N/A,N/A
0FYM.L,N/A,N/A
0G1T,N/A,N/A
0G1T.L,N/A,N/A
0G29,N/A,N/A
0G29.L,N/A,N/A
0G2Z,N/A,N/A
0G33,N/A,N/A
0G33.L,N/A,N/A
0G3U,N/A,N/A
0G40.L,N/A,N/A
0G45.L,N/A,N/A
0G67,N/A,N/A
0G67.L,N/A,N/A
0G68,N/A,N/A
0G68.L,N/A,N/A
0G7L,N/A,N/A
0G91.F,Globus Maritime Ltd,EUR
0G91.L,N/A,N/A
0G99.L,N/A,N/A
0G9J,N/A,N/A
0G9J.L,N/A,N/A
0G9T,N/A,N/A
0GA.F,N/A,N/A
0GD5,N/A,N/A
0GEJ,N/A,N/A
0GGK,N/A,N/A
0GI.F,Genworth Mortgage Insurance Australia,EUR
0GID,N/A,N/A
0GJS,N/A,N/A
0GK0,N/A,N/A
0GLY,N/A,N/A
0GM9,N/A,N/A
0GN6,N/A,N/A
0GNK,N/A,N/A
0GNM,N/A,N/A
0GNM.L,N/A,N/A
0GNX,N/A,N/A
0GNX.L,N/A,N/A
0GOX,N/A,N/A
0GOX.L,N/A,N/A
0GP7,N/A,N/A
0GP7.L,N/A,N/A
0GQ4,N/A,N/A
0GRP,N/A,N/A
0GRP.L,N/A,N/A
0GRZ,N/A,N/A
0GRZ.L,N/A,N/A
0GS.F,Guidewire Software Inc,EUR
0GSS,N/A,N/A
0GT1,N/A,N/A
0GT1.F,N/A,N/A
0GT3,N/A,N/A
0GT3.L,N/A,N/A
0GTM,N/A,N/A
0GTM.L,N/A,N/A
0GTN,N/A,N/A
0GTN.L,N/A,N/A
0GTO,N/A,N/A
0GTO.L,N/A,N/A
0GTU.L,N/A,N/A
0GUO,N/A,N/A
0GUX,N/A,N/A
0GUX.L,N/A,N/A
0GV.F,NeXt Innovation Corp common stock,EUR
0GVS,N/A,N/A
0GW2,N/A,N/A
0GWI,N/A,N/A
0GX2,N/A,N/A
0GX2.L,N/A,N/A
0GX4,N/A,N/A
0GX4.L,N/A,N/A
0GXB,N/A,N/A
0GXG.L,N/A,N/A
0GXK,N/A,N/A
0GY8,N/A,N/A
0GY8.L,N/A,N/A
0GYQ,N/A,N/A
0GZB,N/A,N/A
0H0L,N/A,N/A
0H14.L,N/A,N/A
0H19,N/A,N/A
0H19.L,N/A,N/A
0H2.F,Hitachi Maxell common stock,EUR
0H34,N/A,N/A
0H34.L,N/A,N/A
0H38,N/A,N/A
0H38.L,N/A,N/A
0H5.F,HCI Group Inc,EUR
0H65,N/A,N/A
0H65.L,N/A,N/A
0H9.F,Seibu Holdings Inc,EUR
0HA8,N/A,N/A
0HA8.L,N/A,N/A
0HBO,N/A,N/A
0HBO.L,N/A,N/A
0HDK,N/A,N/A
0HDK.L,N/A,N/A
0HDP,N/A,N/A
0HDP.L,N/A,N/A
0HDQ,N/A,N/A
0HDQ.L,N/A,N/A
0HEZ,N/A,N/A
0HEZ.L,N/A,N/A
0HG.F,HIAG Immobilien Holding AG,EUR
0HM0,N/A,N/A
0HMM,N/A,N/A
0HO.F,Haichang Ocean Park Holdings Ltd,EUR
0HPP,N/A,N/A
0HR3,N/A,N/A
0HR3.L,N/A,N/A
0HRB,N/A,N/A
0HTF,N/A,N/A
0HTS,N/A,N/A
0HV1,N/A,N/A
0HV8,N/A,N/A
0HV8.L,N/A,N/A
0HVA,N/A,N/A
0HVA.L,N/A,N/A
0HW0,N/A,N/A
0HW0.L,N/A,N/A
0HW6.L,N/A,N/A
0HY2,N/A,N/A
0HY2.L,N/A,N/A
0I0P,N/A,N/A
0I15,N/A,N/A
0I1W.L,N/A,N/A
0I2.F,N/A,N/A
0I5O,N/A,N/A
0I5O.L,N/A,N/A
0I6.F,Banca IFIS SpA,EUR
0I8C.L,N/A,N/A
0I91,N/A,N/A
0IB.F,Investors Bancorp Inc,EUR
0IE3,N/A,N/A
0IE3.L,N/A,N/A
0IE9,N/A,N/A
0IE9.L,N/A,N/A
0IG.F,Teligent Inc,EUR
0IHM,N/A,N/A
0IHM.L,N/A,N/A
0IHT,N/A,N/A
0IIO,N/A,N/A
0IIO.L,N/A,N/A
0ILI,N/A,N/A
0ILL,N/A,N/A
0IM3,N/A,N/A
0IM3.L,N/A,N/A
0IMT.L,N/A,N/A
0IN0,N/A,N/A
0IN3,N/A,N/A
0IN3.L,N/A,N/A
0IP1,N/A,N/A
0IPT,N/A,N/A
0IPT.L,N/A,N/A
0IPY,N/A,N/A
0IPY.L,N/A,N/A
0IQ7,N/A,N/A
0IT.F,iCo Therapeutics Inc,EUR
0IUE,N/A,N/A
0IUJ,N/A,N/A
0IUJ.L,N/A,N/A
0IUV,N/A,N/A
0IVJ,N/A,N/A
0IVJ.L,N/A,N/A
0IWU,N/A,N/A
0IWV,N/A,N/A
0IWV.L,N/A,N/A
0IX0,N/A,N/A
0IX0.L,N/A,N/A
0IXL,N/A,N/A
0IXN,N/A,N/A
0IXT,N/A,N/A
0IXT.L,N/A,N/A
0IZM,N/A,N/A
0IZM.L,N/A,N/A
0J00,N/A,N/A
0J03.L,N/A,N/A
0J04.L,N/A,N/A
0J0M,N/A,N/A
0J0M.L,N/A,N/A
0J1O,N/A,N/A
0J77,N/A,N/A
0J7U,N/A,N/A
0J9O,N/A,N/A
0J9O.L,N/A,N/A
0JDJ,N/A,N/A
0JEZ.L,N/A,N/A
0JH4.L,N/A,N/A
0JI3,N/A,N/A
0JI9,N/A,N/A
0JI9.L,N/A,N/A
0JII.L,N/A,N/A
0JLO,N/A,N/A
0JM.F,Jasa Marga (Persero) Tbk PT,EUR
0JN9N.MX,DSV A/S,MXN
0JOD,N/A,N/A
0JOP,N/A,N/A
0JP.F,N/A,N/A
0JR.F,James River Group Holdings Ltd,EUR
0JR9,N/A,N/A
0JSU,N/A,N/A
0JUA.F,Jumei International Holding Ltd(ADR),EUR
0JV.F,N/A,N/A
0JXG,N/A,N/A
0JYZ,STX GL.ESG ENV.LEA.PR GBP,N/A
0JZ8,N/A,N/A
0K02.L,N/A,N/A
0K1.F,Kureha Corp,EUR
0K14,N/A,N/A
0K2D,N/A,N/A
0K69,N/A,N/A
0K69.L,N/A,N/A
0K6S,N/A,N/A
0K6S.L,N/A,N/A
0K6Y,N/A,N/A
0K7H,N/A,N/A
0K82.L,N/A,N/A
0K8N,N/A,N/A
0K8N.L,N/A,N/A
0K96,N/A,N/A
0K96.L,N/A,N/A
0K97,N/A,N/A
0K97.L,N/A,N/A
0K9H,N/A,N/A
0K9H.L,N/A,N/A
0K9T.L,N/A,N/A
0K9U,N/A,N/A
0K9U.L,N/A,N/A
0KA1,N/A,N/A
0KAV,N/A,N/A
0KAV.L,N/A,N/A
0KAZ.L,N/A,N/A
0KB1.F,N/A,N/A
0KB6,N/A,N/A
0KB6.L,N/A,N/A
0KBV,N/A,N/A
0KCD,N/A,N/A
0KCU.L,N/A,N/A
0KD.F,Kornit Digital Ltd,EUR
0KD1,N/A,N/A
0KD1.L,N/A,N/A
0KD2,N/A,N/A
0KDD.L,N/A,N/A
0KE.F,Kernel Holding SA,EUR
0KEH.L,N/A,N/A
0KF1,N/A,N/A
0KGQ,N/A,N/A
0KHH,N/A,N/A
0KHH.L,N/A,N/A
0KIZ,N/A,N/A
0KIZ.L,N/A,N/A
0KJ1,N/A,N/A
0KJ1.L,N/A,N/A
0KJ7,N/A,N/A
0KK7,N/A,N/A
0KK7.L,N/A,N/A
0KT.F,N/A,N/A
0KUV,N/A,N/A
0KV.F,Koovs PLC,EUR
0KY.F,Kayac Inc,EUR
0L8.F,Lantheus Holdings Inc,EUR
0L91,N/A,N/A
0LBY,N/A,N/A
0LC.F,Ashtead Group plc,EUR
0LGI,N/A,N/A
0LLP,N/A,N/A
0LN5,N/A,N/A
0LR8,N/A,N/A
0LRV,N/A,N/A
0LS7,N/A,N/A
0LT.F,Leoch International Technology Ltd,EUR
0LV3,N/A,N/A
0LW.F,Neovacs SA,EUR
0LX3,N/A,N/A
0LYR,N/A,N/A
0LZ.F,Petromaroc Corporation PLC,EUR
0LZ7,N/A,N/A
0M0E,N/A,N/A
0M1.F,Standard Explrn/SHS,EUR
0M14,N/A,N/A
0M14.L,N/A,N/A
0M3.F,IHS Markit Ltd,EUR
0M4.F,Mersana Therapeutics Inc,EUR
0M4M,N/A,N/A
0M4M.L,N/A,N/A
0M6A.F,N/A,N/A
0M6I,N/A,N/A
0M6I.L,N/A,N/A
0M6J,N/A,N/A
0M6Y,N/A,N/A
0M8V,N/A,N/A
0M8V.L,N/A,N/A
0M8Y,N/A,N/A
0M8Y.L,N/A,N/A
0MB.F,Marrone Bio Innovations Inc,EUR
0MB2,N/A,N/A
0MC5,N/A,N/A
0MC5.L,N/A,N/A
0MCJ,N/A,N/A
0MCJ.L,N/A,N/A
0MD9,N/A,N/A
0MD9.L,N/A,N/A
0ME.F,N/A,N/A
0MEL,N/A,N/A
0MGN,N/A,N/A
0MGN.L,N/A,N/A
0MHA,N/A,N/A
0MHA.L,N/A,N/A
0MHS,N/A,N/A
0MHS.L,N/A,N/A
0MI1,N/A,N/A
0MI1.L,N/A,N/A
0MJ1,N/A,N/A
0MJ1.L,N/A,N/A
0MJ9,N/A,N/A
0MJ9.L,N/A,N/A
0MJA.F,N/A,N/A
0MJH,N/A,N/A
0MJH.L,N/A,N/A
0MJR.L,N/A,N/A
0MK2,N/A,N/A
0MK2.L,N/A,N/A
0MKM,N/A,N/A
0MKM.L,N/A,N/A
0MKP,N/A,N/A
0MKP.L,N/A,N/A
0MMZ,N/A,N/A
0MMZ.L,N/A,N/A
0MN5,N/A,N/A
0MNP.L,N/A,N/A
0MNY,N/A,N/A
0MO.F,DMG Mori Co Ltd,EUR
0MQT,N/A,N/A
0MQT.L,N/A,N/A
0MR5.L,N/A,N/A
0MRM,N/A,N/A
0MRM.L,N/A,N/A
0MSG.L,N/A,N/A
0MT1,N/A,N/A
0MTK,N/A,N/A
0MTK.L,N/A,N/A
0MTP.L,N/A,N/A
0MV.F,Marinus Pharmaceuticals Inc,EUR
0MV4,N/A,N/A
0MV4.L,N/A,N/A
0MV6,N/A,N/A
0MVJ.L,N/A,N/A
0MWH,N/A,N/A
0MWH.L,N/A,N/A
0MY.F,Mym Nutraceuticals Inc,EUR
0N08.L,N/A,N/A
0N0B.L,N/A,N/A
0N0K.L,N/A,N/A
0N2C,N/A,N/A
0N2C.L,N/A,N/A
0N4I,N/A,N/A
0N4I.L,N/A,N/A
0N4J,N/A,N/A
0N5E,N/A,N/A
0N5E.L,N/A,N/A
0N5Z,N/A,N/A
0N5Z.L,N/A,N/A
0N6K,N/A,N/A
0N6K.L,N/A,N/A
0N6O,N/A,N/A
0N6O.L,N/A,N/A
0N6Q,N/A,N/A
0N75,N/A,N/A
0N75.L,N/A,N/A
0N7D,N/A,N/A
0N7D.L,N/A,N/A
0N7I,N/A,N/A
0N7I.L,N/A,N/A
0N7L,N/A,N/A
0N7N,N/A,N/A
0N7N.L,N/A,N/A
0N8G,N/A,N/A
0N8R.L,N/A,N/A
0N9O,N/A,N/A
0N9V,N/A,N/A
0N9V.L,N/A,N/A
0N9W,N/A,N/A
0N9Z,N/A,N/A
0N9Z.L,N/A,N/A
0NA.F,N/A,N/A
0NA0,N/A,N/A
0NC0,N/A,N/A
0ND3,N/A,N/A
0NDA,N/A,N/A
0NDA.L,N/A,N/A
0NDX.L,N/A,N/A
0NE2,N/A,N/A
0NE2.L,N/A,N/A
0NEB,N/A,N/A
0NEZ.L,N/A,N/A
0NF.DE,N/A,N/A
0NFP,N/A,N/A
0NFP.L,N/A,N/A
0NFS,N/A,N/A
0NFS.L,N/A,N/A
0NG.F,Northern Graphite Corp,EUR
0NG6,N/A,N/A
0NH.F,Nomad Foods Ltd,EUR
0NHV,N/A,N/A
0NHV.L,N/A,N/A
0NI1.F,NXT-ID Inc,EUR
0NI2,N/A,N/A
0NIG,N/A,N/A
0NIG.L,N/A,N/A
